Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1872976|23-250|Urzędów|Malinowa|17||||
1904719|23-300|Janów Lubelski|Ochotników Węgierskich|1A|150|||
1862055|23-400|Biłgoraj|Nadstawna|56|68|||
1916960|23-400|Biłgoraj|Gen.T. Piskora|8||||
1833874|23-400|Biłgoraj|Myśliwska|20||||
1789849|23-407|Tereszpol Zygmunty||84||||
1917716|23-413|Obsza|Obsza|134c|10|||
1638150|23-414|Majdan Nowy||42||||
1939410|24-220|Załucze||51||||
1924197|24-300|Opole Lubelskie|Morwowa|5|36|||
1805245|25-146|Kielce|Leśniówka|60||||
1994138|25-217|Kielce|Andersa|1|42|||
1895682|25-254|Kielce|Warzywna|3||||
1894317|25-351|Cedzyna|Widokowa|7||||
1808446|25-358|Kielce|Zagórska|44|22|||
1897522|25-362|Kielce|Zagórska|64|29|||
1918693|25-385|Kielce|Prosta|284D||||
1940505|25-387|Kielce|Malinowa|43||||
1982544|25-431|Kielce|Piłsudskiego|2A|1|||
1969229|25-520|Kielce|Targowa|9|25|||
1859131|25-533|Kielce|Marszałkowska|6A|24|||
1940871|26-001|Brzezinki||71b||||
1933121|26-001|Masłów Pierwszy|Spokojna|9||||
1992915|26-010|Św. Katarzyna|Żeromskiego|11||||
1853855|26-052|Wola Murowana||27B||||
1873655|26-060|Lipowica||12||||
1980703|26-110|Skarżysko-Kamienna|Warszawska|235||||
1918501|26-110|Skarżysko-Kamienna|Książęca|4||||
1984154|26-200|Końskie|Polna|7A|46|||
1626314|26-212|Cisownik||31a||||
1874418|26-242|Koliszowy||57||||
1883730|26-333|Wójcin A||22||||
1806808|26-503|Mirów Stary||152||||
1875156|26-505|Wałsnów||34a||||
1769439|26-600|Radom|Warsztatowa|9B|11|||
1769438|26-600|Radom|Ludowa|15||||
1769437|26-600|Radom|Łokietka|20|9|||
1244725|26-600|Radom|Komunalna|25||||
1813352|26-600|Radom|Skrajna|88B||||
1244737|26-600|Radom|Kusocińskiego|12|6|||
1944969|26-652|Cerekiew|Radomska|145||||
1937480|26-680|Rzeczków Kolonia||11a||||
1916892|26-700|Sycyna Północna||222||||
1968897|27-200|Starachowice|Murarska|1|33|||
1933830|27-220|Mirzec-Malcówki||54||||
1936173|27-220|Gadka||258A||||
1978931|27-230|Brody|Henryk|1||||
1896441|27-320|Zemborzyn Pierwszy||104A||||
1804842|27-400|Ostrowiec Świętokrzyski|Siennieńska|111||||
1874921|27-400|Ostrowiec Świętokrzyski|Podgórze|71||||
1919320|27-440|Ćmielów||4||||
1939599|27-552|Żerniki||3||||
1894081|27-570|Stara Łagowica||2||||
1828140|27-600|Sandomierz|Mickiewicza|57|25|||
1958479|27-600|Sandomierz|Czachowskiego|19|9|||
1894232|27-620|Dwikozy|Sportowa|12||||
1875099|27-650|Samborzec||11||||
1872623|28-100|Busko-Zdrój|Sole|21||||
1894214|28-130|Strzałków||35c||||
1947376|28-200|Wola Wiśniowska||16||||
1349667|28-200|Staszów|Konstytucji 3-Go Maja|14|22|||
1895790|28-200|Wólka Żabna||22||||
1957788|28-210|Jurkowice||70||||
1916585|28-210|Bogoria|Rynek|19||||
1803210|28-300|Jędrzejów|Cmentarna|14||||
1978561|28-330|Mierzawa||32B||||
1698425|28-400|Pińczów|Pałęki|3|9|||
1895463|28-400|Pińczów|Batalionów Chłopskich|119||||
1432246|28-400|Pińczów|Średnia|23|4|||
