PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
15-100;Region Sieci Białystok;Białystok;Bitwy Białostockiej;8 A;Białystok;Białystok;podlaskie
85-001;Region Sieci Bydgoszcz;Bydgoszcz;Jagiellońska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
80-940;Region Sieci Gdańsk;Gdańsk;Targ Rakowy;7/8;Gdańsk;Gdańsk;pomorskie
66-400;Region Sieci Gorzów Wielkopolski;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
40-940;Region Sieci Katowice;Katowice;Plac Oddziałów Młodzieży Powstańczej;7;Katowice;Katowice;śląskie
25-001;Region Sieci Kielce;Kielce;pl. Niepodległości;2;Kielce;Kielce;świętokrzyskie
30-940;Region Sieci Kraków;Kraków;Grochowska;2;Kraków;Kraków;małopolskie
20-001;Region Sieci Lublin;Lublin;Krakowskie Przedmieście;50;Lublin;Lublin;lubelskie
90-900;Region Sieci Łódź;Łódź;al. Włókniarzy;227;Łódź;Łódź;łódzkie
10-001;Region Sieci Olsztyn;Olsztyn;Seweryna Pieniężnego;21;Olsztyn;Olsztyn;warmińsko-mazurskie
45-076;Region Sieci Opole;Opole;Krakowska;46;Opole;Opole;opolskie
60-942;Region Sieci Poznań;Poznań;Tadeusza Kościuszki;77;Poznań;Poznań;wielkopolskie
35-959;Region Sieci Rzeszów;Rzeszów;Adama Asnyka;9;Rzeszów;Rzeszów;podkarpackie
70-405;Region Sieci Szczecin;Szczecin;Aleja Niepodległości;41/42;Szczecin;Szczecin;zachodniopomorskie
00-941;Region Sieci Warszawa-Miasto;Warszawa;Świętokrzyska;31/33;Warszawa;Warszawa;mazowieckie
00-965;Region Sieci Warszawa-Województwo;Warszawa;Towarowa;5;Warszawa;Warszawa;mazowieckie
50-945;Region Sieci Wrocław;Wrocław;Zygmunta Krasińskiego;1;Wrocław;Wrocław;dolnośląskie
85-940;Centrum Obsługi Finansowej Bydgoszcz;Bydgoszcz;Bernardyńska;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
41-902;Centrum Obsługi Finansowej Bytom;Bytom;Karola Miarki;4;Bytom;Bytom;śląskie
00-935;Centrum Skanowania PPUC skr. poczt. 100-999;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
95-042;Dział Obsługi Posprzedażowej;Koluszki;Kolejowa;4;Koluszki;łódzki wschodni;łódzkie
